"spatial_domains","group1","group2","p","p_adj"
"MSN_1","DRD1_MSN_A","DRD1_MSN_B",0,0
"MSN_1","DRD1_MSN_A","DRD1_MSN_C",3.09016308863326e-96,3.31088902353564e-96
"MSN_1","DRD1_MSN_A","DRD1_MSN_D",0,0
"MSN_1","DRD1_MSN_A","DRD2_MSN_A",0,0
"MSN_1","DRD1_MSN_A","DRD2_MSN_B",0,0
"MSN_1","DRD1_MSN_B","DRD1_MSN_C",1.25068482533945e-212,1.56335603167431e-212
"MSN_1","DRD1_MSN_B","DRD1_MSN_D",3.85306577814503e-269,5.25418060656141e-269
"MSN_1","DRD1_MSN_B","DRD2_MSN_A",0,0
"MSN_1","DRD1_MSN_B","DRD2_MSN_B",5.35569199937532e-06,5.35569199937532e-06
"MSN_1","DRD1_MSN_C","DRD1_MSN_D",0,0
"MSN_1","DRD1_MSN_C","DRD2_MSN_A",0,0
"MSN_1","DRD1_MSN_C","DRD2_MSN_B",1.90159268556789e-276,2.85238902835183e-276
"MSN_1","DRD1_MSN_D","DRD2_MSN_A",0,0
"MSN_1","DRD1_MSN_D","DRD2_MSN_B",1.96967479027803e-210,2.27270168109004e-210
"MSN_1","DRD2_MSN_A","DRD2_MSN_B",0,0
"MSN_2","DRD1_MSN_A","DRD1_MSN_B",0,0
"MSN_2","DRD1_MSN_A","DRD1_MSN_C",1.64459129310351e-92,1.76206209975377e-92
"MSN_2","DRD1_MSN_A","DRD1_MSN_D",0,0
"MSN_2","DRD1_MSN_A","DRD2_MSN_A",0,0
"MSN_2","DRD1_MSN_A","DRD2_MSN_B",0,0
"MSN_2","DRD1_MSN_B","DRD1_MSN_C",0,0
"MSN_2","DRD1_MSN_B","DRD1_MSN_D",1.10250213505158e-275,1.37812766881448e-275
"MSN_2","DRD1_MSN_B","DRD2_MSN_A",0,0
"MSN_2","DRD1_MSN_B","DRD2_MSN_B",1.13777325505608e-06,1.13777325505608e-06
"MSN_2","DRD1_MSN_C","DRD1_MSN_D",0,0
"MSN_2","DRD1_MSN_C","DRD2_MSN_A",0,0
"MSN_2","DRD1_MSN_C","DRD2_MSN_B",0,0
"MSN_2","DRD1_MSN_D","DRD2_MSN_A",0,0
"MSN_2","DRD1_MSN_D","DRD2_MSN_B",1.05662579025554e-215,1.21918360414101e-215
"MSN_2","DRD2_MSN_A","DRD2_MSN_B",0,0
"MSN_3","DRD1_MSN_A","DRD1_MSN_B",1.3728754432548e-154,1.58408704990939e-154
"MSN_3","DRD1_MSN_A","DRD1_MSN_C",0,0
"MSN_3","DRD1_MSN_A","DRD1_MSN_D",7.86780752397929e-19,8.42979377569209e-19
"MSN_3","DRD1_MSN_A","DRD2_MSN_A",0,0
"MSN_3","DRD1_MSN_A","DRD2_MSN_B",4.92319064872256e-169,6.1539883109032e-169
"MSN_3","DRD1_MSN_B","DRD1_MSN_C",0,0
"MSN_3","DRD1_MSN_B","DRD1_MSN_D",1.27514386570197e-252,1.73883254413905e-252
"MSN_3","DRD1_MSN_B","DRD2_MSN_A",0,0
"MSN_3","DRD1_MSN_B","DRD2_MSN_B",0.18392459866838,0.18392459866838
"MSN_3","DRD1_MSN_C","DRD1_MSN_D",0,0
"MSN_3","DRD1_MSN_C","DRD2_MSN_A",0,0
"MSN_3","DRD1_MSN_C","DRD2_MSN_B",0,0
"MSN_3","DRD1_MSN_D","DRD2_MSN_A",0,0
"MSN_3","DRD1_MSN_D","DRD2_MSN_B",1.13654386167273e-303,1.7048157925091e-303
"MSN_3","DRD2_MSN_A","DRD2_MSN_B",0,0
