Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7to8,Feature log2 fold change topic 7to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000228794,LINC01128,8,-1.6922,42,0.79206,15,-0.9249,34,0.43750,37,0.60995,27,0.09424,25,-0.0578,27,0.09626
ENSG00000188976,NOC2L,42,-0.5335,65,0.15067,47,-0.3957,100,0.87856,90,0.69110,45,-0.4612,62,0.07377,46,-0.3711
ENSG00000188290,HES4,35,-2.2178,143,-0.1181,135,-0.2288,144,-0.1024,166,0.12110,146,-0.0903,229,0.65429,257,0.85541
ENSG00000187608,ISG15,58,0.48563,40,-0.0950,33,-0.4568,40,-0.1200,19,-1.2702,18,-1.4305,91,1.27055,79,1.02108
ENSG00000188157,AGRN,50,0.48411,20,-0.9440,31,-0.3436,14,-1.4453,10,-1.9436,9,-2.2248,24,-0.6716,174,2.95637
ENSG00000131591,C1orf159,32,0.63727,16,-0.4259,19,-0.2481,21,-0.0682,43,1.15997,23,0.11983,4,-2.5438,16,-0.4476
ENSG00000078808,SDF4,140,0.58149,113,0.22757,83,-0.2887,57,-0.8338,108,0.16279,90,-0.1471,106,0.13022,108,0.16131
ENSG00000176022,B3GALT6,27,-0.1721,54,0.96432,26,-0.2883,13,-1.3100,42,0.51192,32,0.09658,25,-0.2994,27,-0.1900
ENSG00000160087,UBE2J2,58,0.52023,50,0.28215,28,-0.6631,3,-3.6775,41,-0.0323,40,-0.0801,28,-0.6078,102,1.51763
ENSG00000131584,ACAP3,156,-0.0367,112,-0.5498,144,-0.1869,42,-2.0199,373,1.45401,159,-0.0006,107,-0.6280,199,0.35744
ENSG00000127054,INTS11,83,0.57387,54,-0.1297,62,0.09522,22,-1.5215,79,0.47725,54,-0.1375,48,-0.3251,69,0.25758
ENSG00000224051,CPTP,35,0.12387,50,0.70133,21,-0.7016,21,-0.6422,35,0.09512,28,-0.2711,26,-0.3759,60,1.00865
ENSG00000107404,DVL1,75,0.40559,58,-0.0052,45,-0.4635,42,-0.5018,79,0.48974,63,0.12335,66,0.18364,50,-0.2629
ENSG00000175756,AURKAIP1,167,0.17543,305,1.19777,110,-0.5290,187,0.35730,107,-0.5333,100,-0.6890,132,-0.2010,179,0.28788
ENSG00000221978,CCNL2,107,0.55274,39,-1.0556,63,-0.3281,73,-0.0685,70,-0.1346,68,-0.1952,76,-0.0096,135,0.94993
ENSG00000242485,MRPL20,118,-0.2754,168,0.28666,131,-0.1200,148,0.08831,128,-0.1448,150,0.12093,86,-0.7661,193,0.52092
ENSG00000235098,ANKRD65,75,1.90449,29,0.23564,27,0.12158,12,-1.1149,31,0.34539,17,-0.6925,15,-0.7831,2,-3.5198
