Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8
ENSG00000188976,NOC2L,58,0.18230,27,-1.0345,27,-1.0458,50,-0.0681,37,-0.5341,71,0.52131,96,1.05934
ENSG00000188290,HES4,25,-1.8256,10,-3.1065,59,-0.5189,60,-0.5580,286,2.44302,76,-0.1125,75,-0.1259
ENSG00000078808,SDF4,103,0.31243,88,0.04798,83,-0.0526,66,-0.4639,108,0.38780,75,-0.2024,94,0.15252
ENSG00000160087,UBE2J2,31,-0.2911,34,-0.1735,28,-0.4973,28,-0.5614,49,0.43650,32,-0.2831,73,1.14278
ENSG00000131584,ACAP3,109,0.29780,77,-0.2742,20,-2.2894,88,-0.0851,74,-0.3425,165,1.02080,111,0.32177
ENSG00000127054,INTS11,66,0.45306,46,-0.1451,60,0.29175,44,-0.2460,41,-0.3366,54,0.12654,47,-0.1053
ENSG00000107404,DVL1,52,0.00698,40,-0.3962,87,0.88965,37,-0.6211,42,-0.3198,38,-0.4888,80,0.75320
ENSG00000175756,AURKAIP1,91,-0.2048,108,0.08242,117,0.20940,68,-0.7429,127,0.35375,103,0.00710,141,0.52565
ENSG00000221978,CCNL2,108,0.75450,70,0.02779,105,0.70189,45,-0.7693,72,0.06578,66,-0.0852,43,-0.7600
ENSG00000242485,MRPL20,205,0.36302,172,0.06322,196,0.28756,129,-0.4534,170,0.04464,151,-0.1453,169,0.03719
ENSG00000179403,VWA1,558,2.74013,291,1.25910,76,-1.0009,53,-1.7001,45,-1.7996,37,-2.0674,28,-2.4901
ENSG00000205090,TMEM240,3,-3.6316,27,-0.7112,18,-1.2858,56,0.60376,34,-0.3231,75,1.00222,64,0.73216
ENSG00000160075,SSU72,148,0.08247,89,-0.7397,130,-0.1292,129,-0.1661,131,-0.1195,141,-0.0009,230,0.84396
ENSG00000272106,AL691432.2,40,0.14516,24,-0.6396,40,0.14401,29,-0.3931,41,0.20941,53,0.64066,34,-0.1100
ENSG00000197530,MIB2,34,-0.1459,57,0.70791,20,-1.0167,30,-0.3925,40,0.11733,37,-0.0032,51,0.51028
ENSG00000078369,GNB1,364,0.29307,148,-1.1426,216,-0.5580,272,-0.2204,326,0.10621,319,0.07191,527,0.94355
ENSG00000187730,GABRD,21,-3.5169,6,-5.2426,57,-2.0658,257,0.33574,243,0.18977,562,1.74129,332,0.72912
ENSG00000067606,PRKCZ,211,0.11569,175,-0.1849,158,-0.3564,181,-0.1539,132,-0.6359,285,0.63060,249,0.39453
ENSG00000162585,FAAP20,61,0.32352,73,0.63543,52,0.06734,35,-0.6483,46,-0.1291,20,-1.4161,78,0.76019
ENSG00000157933,SKI,66,0.07151,75,0.27555,41,-0.6829,68,0.15212,87,0.53082,51,-0.3497,49,-0.3922
ENSG00000157916,RER1,87,0.30210,112,0.74056,75,0.05413,40,-1.0331,62,-0.2549,64,-0.1978,99,0.52637
ENSG00000157870,PRXL2B,30,-0.4107,11,-1.9124,40,0.03425,23,-0.9348,32,-0.3482,59,0.70246,95,1.59036
ENSG00000158109,TPRG1L,101,-0.4887,36,-2.0363,59,-1.3020,112,-0.3654,161,0.27752,219,0.80954,291,1.34137
ENSG00000130764,LRRC47,91,0.07691,87,-0.0008,57,-0.6621,57,-0.7590,123,0.59216,83,-0.0635,139,0.80106
ENSG00000196581,AJAP1,19,-1.3400,21,-1.2277,21,-1.2136,45,-0.0366,34,-0.4775,93,1.23357,89,1.15459
ENSG00000069424,KCNAB2,13,-2.9542,8,-3.5901,82,-0.1402,100,0.21164,113,0.38580,138,0.73232,164,1.04632
ENSG00000116251,RPL22,652,1.05219,603,0.90737,334,-0.1061,197,-1.0523,400,0.19149,227,-0.7217,241,-0.6298
ENSG00000116237,ICMT,49,-0.3791,19,-1.8359,37,-0.8163,48,-0.4897,82,0.46189,108,0.95575,107,0.93302
ENSG00000097021,ACOT7,76,-1.4496,45,-2.2118,85,-1.2836,176,-0.1551,190,-0.0115,257,0.49923,525,1.86613
ENSG00000162408,NOL9,32,0.03033,22,-0.5597,21,-0.6318,20,-0.8237,48,0.70214,50,0.75682,40,0.39770
ENSG00000162413,KLHL21,60,0.76887,20,-0.9761,63,0.85126,20,-1.0870,39,0.02995,35,-0.1417,47,0.35022
ENSG00000007923,DNAJC11,22,-0.6655,23,-0.6425,22,-0.7157,30,-0.2406,51,0.68162,46,0.52078,48,0.58978
ENSG00000171735,CAMTA1,45,-2.1339,58,-1.7618,182,0.01404,209,0.28516,183,0.01988,244,0.50695,315,0.96337
ENSG00000049245,VAMP3,219,2.36387,105,0.84149,83,0.41769,12,-2.7514,37,-0.8567,28,-1.2935,19,-1.9011
ENSG00000049246,PER3,55,0.39797,34,-0.3893,54,0.36945,42,-0.0635,27,-0.7516,36,-0.3055,56,0.45530
ENSG00000116288,PARK7,279,0.27231,162,-0.6122,225,-0.0839,204,-0.2810,261,0.15866,192,-0.3422,369,0.75753
ENSG00000162426,SLC45A1,14,-1.1313,5,-2.6776,14,-1.1059,34,0.31661,26,-0.1636,35,0.31559,69,1.56625
ENSG00000142599,RERE,62,-0.4625,77,-0.0932,101,0.34922,55,-0.7324,98,0.29324,113,0.53632,96,0.26250
ENSG00000074800,ENO1,352,-0.7033,365,-0.6474,522,-0.0747,447,-0.3744,649,0.28602,828,0.70889,762,0.56170
ENSG00000171603,CLSTN1,225,-0.8037,190,-1.0698,350,-0.1001,305,-0.3738,318,-0.2574,408,0.15121,879,1.54872
ENSG00000162441,LZIC,85,1.16195,75,0.94386,31,-0.5298,24,-1.0185,43,0.00082,31,-0.5124,33,-0.4483
ENSG00000130939,UBE4B,65,0.34790,81,0.72764,27,-1.0377,34,-0.7735,37,-0.5670,72,0.50481,72,0.52113
ENSG00000054523,KIF1B,551,0.64964,453,0.31126,306,-0.3338,321,-0.2936,320,-0.2623,409,0.13851,326,-0.2322
ENSG00000142657,PGD,44,0.28519,25,-0.6438,22,-0.8273,31,-0.3372,26,-0.5547,39,0.08311,79,1.33267
ENSG00000241563,CORT,31,-2.2590,8,-4.2643,61,-1.2628,38,-2.1306,7,-4.4665,1,-7.0799,905,5.08725
ENSG00000160049,DFFA,53,0.63982,43,0.28488,67,1.05282,31,-0.2895,16,-1.2380,24,-0.6346,25,-0.6129
ENSG00000120948,TARDBP,122,0.48907,134,0.64362,88,-0.0555,72,-0.4404,56,-0.7822,85,-0.1198,102,0.18358
ENSG00000116649,SRM,45,-0.7747,50,-0.6035,86,0.28857,60,-0.3643,80,0.15619,99,0.52104,102,0.57326
ENSG00000171824,EXOSC10,62,1.10010,57,0.94657,6,-2.5090,25,-0.4908,15,-1.2034,28,-0.2782,45,0.51628
ENSG00000198793,MTOR,28,-0.4989,12,-1.7753,68,0.98166,28,-0.5570,41,0.11616,47,0.33885,55,0.58305
ENSG00000116661,FBXO2,70,-1.1037,118,-0.2983,173,0.34013,120,-0.3056,145,0.04507,123,-0.2224,261,1.06820
ENSG00000132879,FBXO44,74,-0.7958,46,-1.5223,147,0.30419,88,-0.6052,111,-0.1608,226,1.07387,198,0.82900
ENSG00000116670,MAD2L2,46,0.55845,52,0.74775,16,-1.1374,24,-0.5631,28,-0.3019,43,0.43199,32,-0.0369
ENSG00000011021,CLCN6,50,0.05395,27,-0.9010,46,-0.0683,36,-0.5471,38,-0.3957,48,0.01166,105,1.37458
ENSG00000116685,KIAA2013,80,0.96232,59,0.43055,55,0.29584,23,-1.1617,36,-0.3951,51,0.19021,38,-0.3026
ENSG00000083444,PLOD1,40,-0.2024,41,-0.1601,81,0.99981,26,-0.9773,60,0.47642,34,-0.4586,54,0.29641
ENSG00000116688,MFN2,75,-0.7426,60,-1.0870,110,-0.1368,124,0.07050,125,0.06549,142,0.28810,197,0.85632
ENSG00000048707,VPS13D,40,-0.8327,61,-0.1636,56,-0.3002,48,-0.6367,90,0.46359,65,-0.0728,135,1.20684
ENSG00000162496,DHRS3,30,-0.8353,23,-1.2055,106,1.29413,41,-0.3718,69,0.50568,23,-1.2524,72,0.60083
ENSG00000116731,PRDM2,61,-0.3991,43,-0.9434,40,-1.0527,85,0.15933,104,0.47853,111,0.59725,96,0.34630
ENSG00000189337,KAZN,91,1.01185,42,-0.2859,63,0.37562,40,-0.4159,32,-0.7420,54,0.10684,42,-0.3120
ENSG00000116138,DNAJC16,26,-0.7627,22,-1.0385,21,-1.0551,43,0.03533,71,0.89917,47,0.17774,64,0.70495
ENSG00000116786,PLEKHM2,29,-0.1890,31,-0.1322,21,-0.7141,29,-0.2545,61,1.06434,23,-0.5902,42,0.39494
ENSG00000065526,SPEN,91,0.62998,64,0.04451,79,0.40466,63,0.02118,51,-0.3209,57,-0.1434,30,-1.1222
ENSG00000055070,SZRD1,75,1.35312,72,1.27272,23,-0.6247,21,-0.9048,25,-0.5335,33,-0.0926,9,-2.1048
ENSG00000159363,ATP13A2,63,-0.4399,21,-2.0718,55,-0.6491,69,-0.3391,57,-0.6002,67,-0.3361,262,2.17441
ENSG00000117118,SDHB,75,0.62239,25,-1.1688,16,-1.7708,46,-0.2284,77,0.65534,63,0.31571,68,0.45412
ENSG00000117115,PADI2,576,2.30969,566,2.26672,105,-0.7995,39,-2.4662,27,-2.8290,22,-3.1059,12,-3.9396
ENSG00000127463,EMC1,39,-0.1791,33,-0.4503,14,-1.7559,51,0.29691,11,-2.1278,48,0.16666,103,1.53199
