Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2to3,Feature log2 fold change topic 2to3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5to8,Feature log2 fold change topic 5to8
ENSG00000228794,LINC01128,26,-0.2857,19,-0.9311,68,1.35698,30,-0.1246
ENSG00000188976,NOC2L,42,-0.2329,33,-0.6965,59,0.32187,56,0.40377
ENSG00000188290,HES4,79,-0.6542,101,-0.2977,86,-0.5212,146,0.66308
ENSG00000187608,ISG15,66,0.67209,45,0.04361,38,-0.2241,40,-0.2901
ENSG00000078808,SDF4,115,0.36835,77,-0.3491,84,-0.1540,97,0.13347
ENSG00000176022,B3GALT6,32,0.13841,17,-0.9356,30,0.02337,35,0.51874
ENSG00000160087,UBE2J2,42,-0.1070,41,-0.1777,27,-0.8088,52,0.46496
ENSG00000131584,ACAP3,104,-0.2886,88,-0.6300,101,-0.3360,154,0.68435
ENSG00000127054,INTS11,62,0.31378,27,-1.1142,42,-0.3462,64,0.67422
ENSG00000224051,CPTP,9,-1.4027,23,0.00659,31,0.48690,24,0.17955
ENSG00000107404,DVL1,60,0.08403,53,-0.1378,41,-0.5434,63,0.27032
ENSG00000175756,AURKAIP1,134,0.16717,130,0.13833,128,0.09868,111,-0.2273
ENSG00000221978,CCNL2,84,0.14739,37,-1.2819,92,0.29486,92,0.54729
ENSG00000242485,MRPL20,178,0.42242,177,0.49527,98,-0.5547,119,-0.4006
ENSG00000179403,VWA1,198,2.18463,45,-0.5973,52,-0.2953,40,-1.0778
ENSG00000205090,TMEM240,33,-0.8187,46,-0.3586,48,-0.2623,69,0.65939
ENSG00000160075,SSU72,137,-0.0825,159,0.18811,111,-0.4275,147,0.05696
ENSG00000272106,AL691432.2,71,-0.0360,66,-0.1672,85,0.26171,73,0.01493
ENSG00000197530,MIB2,35,0.11720,29,-0.2442,51,0.73818,30,-0.2674
ENSG00000189339,SLC35E2B,20,-0.5384,22,-0.4560,13,-1.1778,37,0.92847
ENSG00000215790,SLC35E2A,29,-0.3780,27,-0.5711,40,0.13207,43,0.47960
ENSG00000008130,NADK,47,0.28920,31,-0.4436,27,-0.5920,45,0.39468
ENSG00000078369,GNB1,426,-0.2255,478,-0.0444,414,-0.2724,529,0.23764
ENSG00000187730,GABRD,134,-1.0662,201,-0.4864,198,-0.4503,341,0.88853
ENSG00000067606,PRKCZ,157,-0.3598,177,-0.1970,204,0.06817,213,0.25627
ENSG00000162585,FAAP20,49,0.60937,33,-0.0691,42,0.35049,29,-0.4310
ENSG00000157933,SKI,75,0.40034,70,0.32303,53,-0.1662,51,-0.3821
ENSG00000157916,RER1,111,0.44621,69,-0.3856,70,-0.3098,90,0.17598
ENSG00000157911,PEX10,31,0.23147,29,0.13381,21,-0.4219,27,-0.0448
ENSG00000157881,PANK4,16,-0.7861,20,-0.4750,27,0.07509,31,0.58052
ENSG00000197921,HES5,32,0.58182,22,-0.0526,33,0.62675,18,-0.5855
ENSG00000157870,PRXL2B,30,-0.7951,51,0.04694,54,0.13671,53,0.18517
ENSG00000177133,PRDM16-DT,33,0.07078,47,0.83361,40,0.38353,21,-0.9583
ENSG00000158109,TPRG1L,127,-0.7403,184,-0.1670,184,-0.1435,232,0.45255
ENSG00000116213,WRAP73,21,-0.2343,23,-0.0856,36,0.65940,23,-0.1815
ENSG00000130764,LRRC47,85,-0.1018,76,-0.3314,99,0.14514,97,0.21196
ENSG00000116198,CEP104,25,-0.0177,14,-0.9566,24,-0.0915,31,0.65466
ENSG00000196581,AJAP1,59,-0.2179,45,-0.7245,57,-0.2663,83,0.68540
ENSG00000131697,NPHP4,19,-0.4979,14,-1.1276,16,-0.7475,37,1.20430
ENSG00000069424,KCNAB2,113,-0.8107,229,0.39324,156,-0.3002,194,0.09383
ENSG00000116254,CHD5,23,0.10653,18,-0.2733,29,0.55109,20,-0.1302
ENSG00000116251,RPL22,591,0.56992,463,0.18074,334,-0.3768,381,-0.2795
ENSG00000116237,ICMT,74,-0.6420,80,-0.5908,101,-0.1425,137,0.70829
ENSG00000097021,ACOT7,165,-0.5271,155,-0.7033,240,0.07741,279,0.63863
ENSG00000215788,TNFRSF25,12,-1.0852,11,-1.3246,25,0.04252,33,1.16249
ENSG00000162408,NOL9,47,0.04073,41,-0.2083,44,-0.0411,48,0.15051
ENSG00000162413,KLHL21,59,0.48480,36,-0.3425,50,0.21311,42,-0.0972
ENSG00000007923,DNAJC11,44,-0.2131,46,-0.1865,60,0.28880,52,0.08750
ENSG00000171735,CAMTA1,128,-0.7842,219,0.08428,177,-0.2756,233,0.32882
ENSG00000049245,VAMP3,105,1.52372,39,-0.2353,28,-0.7121,36,-0.5372
ENSG00000049246,PER3,65,0.09551,55,-0.1886,69,0.19100,61,0.00621
ENSG00000116288,PARK7,291,-0.1753,316,-0.0477,306,-0.0958,341,0.14983
ENSG00000116285,ERRFI1,19,-0.8529,20,-0.8845,46,0.56138,39,0.58291
ENSG00000162426,SLC45A1,28,-0.2009,23,-0.5795,24,-0.4529,39,0.66103
ENSG00000142599,RERE,109,-0.0105,96,-0.2589,87,-0.3851,123,0.34396
