p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,-0.7326898088219881,0.211,0.547,0,1,CPNE4
0,0.16527135804440274,0.2,0.535,0,1,CRNDE
0,0.2804024257653499,0.204,0.524,0,1,DGKK
0,-0.4008263635677074,0.169,0.488,0,1,TRPC3
0,0.3598554777899716,0.21,0.525,0,1,KL
0,-0.2509185284381179,0.264,0.578,0,1,SPEF2
0,-0.29942451626456434,0.248,0.56,0,1,OPRM1
0,-0.19477521609492965,0.176,0.487,0,1,GNRH1
0,0.13457895050965685,0.253,0.556,0,1,TRMT9B
0,-0.401357110129139,0.275,0.576,0,1,HCN1
0,0.1642871671236562,0.264,0.562,0,1,GPR101
0,0.20200680530321613,0.264,0.561,0,1,SLC35D3
0,0.22802133551904424,0.27,0.566,0,1,EPHA7
0,-0.17351994602688758,0.243,0.534,0,1,STUM
0,-0.36873926615683955,0.278,0.567,0,1,KIT
0,-0.15447579481363682,0.29,0.578,0,1,OSCP1
0,-0.32584732556419316,0.315,0.603,0,1,GUCY1A1
0,-0.16400139647938397,0.313,0.601,0,1,KLF5
0,-0.6442758565594155,0.253,0.54,0,1,FOXP2
0,0.16348596346204847,0.249,0.535,0,1,DNAH2
0,0.9015701762553521,0.286,0.572,0,1,MME
0,0.466605995635452,0.269,0.552,0,1,COL25A1
0,-0.18230368278849118,0.278,0.556,0,1,TMEM67
0,-0.1344723284101207,0.294,0.572,0,1,LZTFL1
0,0.3377905885120709,0.276,0.552,0,1,DUSP6
0,-0.3743266904150555,0.283,0.558,0,1,GALNS
0,0.2939792562198851,0.298,0.573,0,1,HRH2
0,0.4917616523405117,0.265,0.538,0,1,EGR2
0,-0.3241246158506382,0.308,0.581,0,1,PLPPR5
0,0.38891512501125197,0.288,0.56,0,1,CARNMT1
0,-0.22468801787362758,0.296,0.568,0,1,IFT57
0,-0.2314074050026863,0.299,0.571,0,1,WDR60
0,-0.8165944189668481,0.252,0.523,0,1,SLC10A4
0,0.3939735261341208,0.294,0.565,0,1,BSPRY
0,-0.2924414394938243,0.343,0.614,0,1,TMEM272
0,-0.5498223168534756,0.309,0.579,0,1,FNDC9
0,0.14875483792337,0.32,0.59,0,1,DACH1
0,0.5229595054191999,0.283,0.552,0,1,SMOC2
0,-1.0794730632401481,0.24,0.509,0,1,CRH
0,-0.6697713078385705,0.336,0.603,0,1,MAGEL2
0,-0.21890697722143176,0.341,0.608,0,1,RADX
0,-0.18274191448140076,0.302,0.567,0,1,DOC2A
0,-0.13719520260154383,0.292,0.556,0,1,IQCA1
0,-0.8881758512714288,0.288,0.552,0,1,SEMA5B
0,-0.15266940473780688,0.335,0.597,0,1,RABL2B
0,-0.34377575401396027,0.363,0.624,0,1,EPB41L4B
0,0.36696770784933125,0.319,0.58,0,1,EPB41
0,-0.3530788552874189,0.308,0.569,0,1,EFHC1
0,-0.4267958210208189,0.322,0.583,0,1,TSHZ1
0,-0.3611023217769529,0.299,0.559,0,1,RASGRF1
0,0.3364933812158669,0.318,0.578,0,1,EPHX4
0,-0.157973945839314,0.297,0.556,0,1,TCTN1
0,0.11126443605167291,0.3,0.559,0,1,ARL4D
0,-0.1464749680977548,0.336,0.595,0,1,EPHA4
0,-0.19128221391571287,0.293,0.551,0,1,MOK
0,-0.3472120257322515,0.354,0.612,0,1,SSTR2
0,0.27706665419409404,0.326,0.584,0,1,CACNA1H
0,-0.17745070809407487,0.355,0.612,0,1,TMEM159
0,-0.33443322728598046,0.317,0.574,0,1,IFT46
0,-0.987413157354588,0.415,0.671,0,1,CREG2
0,-0.3362592737517336,0.311,0.567,0,1,EHBP1L1
0,-0.34334356904246144,0.339,0.595,0,1,GRIN2A
0,-0.21819720420268984,0.319,0.575,0,1,RIT2
0,-0.1397288991530967,0.356,0.611,0,1,WDR54
0,-0.4969996277911095,0.313,0.568,0,1,UNC5D
0,-0.2060069274510833,0.309,0.564,0,1,TDRD9
0,0.2173332605619105,0.311,0.566,0,1,NQO1
0,-0.43755546770960446,0.389,0.643,0,1,ST6GALNAC5
0,-0.26033537201152424,0.321,0.574,0,1,PFKFB2
0,0.2644856841926256,0.338,0.591,0,1,C6ORF141
0,-0.795945967013775,0.33,0.582,0,1,SEMA3E
0,0.4160423115068942,0.334,0.586,0,1,ONECUT2
0,-0.22028228733787614,0.336,0.587,0,1,TMEM231
0,-0.8576927289198352,0.295,0.545,0,1,GABRA3
0,-0.3293344300569343,0.288,0.537,0,1,AK7
0,-0.27670345896060655,0.314,0.563,0,1,RXRG
0,0.11873392035946084,0.292,0.54,0,1,ECRG4
0,-0.6912590800281994,0.412,0.659,0,1,PDE8B
0,-0.8582198008370201,0.767,0.52,0,1,HBA1
0,0.13220624682088059,0.332,0.579,0,1,OPRK1
0,-0.32558578029373275,0.311,0.557,0,1,SLC41A1
0,-0.4376170435861293,0.402,0.648,0,1,GLCE
0,-0.21480589852113094,0.368,0.613,0,1,ETV1
0,-0.4625595888679599,0.3,0.544,0,1,DNAH9
0,-0.32316114408754837,0.318,0.561,0,1,CROCC
0,0.3078184828280376,0.346,0.589,0,1,OBSCN
0,-0.14275223151643254,0.392,0.635,0,1,ZDBF2
0,0.1010925300384208,0.344,0.587,0,1,MLF1
0,-0.10265156514835816,0.313,0.555,0,1,NPTX2
0,-0.11210033333517608,0.39,0.632,0,1,AC104083.1
0,0.24029414966401663,0.359,0.601,0,1,ANKRD34B
0,-0.15447913673302457,0.378,0.62,0,1,LRRTM3
0,0.171430763275932,0.356,0.597,0,1,SGPP2
0,-0.30372166224639013,0.388,0.629,0,1,FGF14
0,-0.4929773110687772,0.26,0.499,0,1,CRABP2
0,0.18460293942377595,0.345,0.582,0,1,EGR4
0,-0.12161024394350836,0.371,0.608,0,1,KIRREL3
0,-0.1399032293309631,0.403,0.639,0,1,SLITRK5
0,-0.3449540841344019,0.301,0.536,0,1,SPA17
0,0.7638792885342758,0.338,0.572,0,1,EYA1
0,-0.472453529126533,0.431,0.664,0,1,NUDT11
0,-0.1504029366838961,0.403,0.636,0,1,MGAT4A
0,-0.25641654492390464,0.369,0.602,0,1,GRIK2
0,-0.4727086538160114,0.359,0.591,0,1,OPCML
0,-0.4153957935022333,0.337,0.569,0,1,UNC119B
0,-0.2238687440836774,0.369,0.6,0,1,RTP5
0,-0.13264429711161202,0.404,0.634,0,1,PBX3
0,-0.33182911229407647,0.398,0.627,0,1,AC104072.1
0,0.11030377059769914,0.369,0.598,0,1,PLEKHA2
0,-0.3142595232663773,0.415,0.643,0,1,ARHGAP26
0,-0.40062160162325733,0.443,0.671,0,1,PTPRO
0,-0.2431539675875697,0.405,0.633,0,1,SLITRK4
0,-0.3385275048062648,0.321,0.547,0,1,PPP1R32
0,0.2715222526403405,0.374,0.6,0,1,ADRB1
0,-1.473316011226141,0.72,0.495,0,1,VIP
0,-1.075895214334731,0.383,0.608,0,1,PNMA8C
0,-0.10764952528270166,0.421,0.645,0,1,DCK
0,-0.23568417484573934,0.439,0.663,0,1,MBTPS1
0,-0.31615924078687996,0.38,0.604,0,1,FLNA
0,0.2574148945325457,0.38,0.603,0,1,TRPM2
0,-0.36856051936907697,0.423,0.645,0,1,SLC7A14
0,-0.10405984658056094,0.434,0.656,0,1,POU3F4
0,0.48467844117242664,0.361,0.583,0,1,DACT2
0,-0.3405732430479725,0.445,0.666,0,1,RIPOR2
0,-0.3198181324710439,0.444,0.665,0,1,MIAT
0,0.5955797655590438,0.368,0.589,0,1,TUNAR
0,-1.3156614528374624,0.284,0.503,0,1,RXFP1
0,0.26031731425530724,0.403,0.622,0,1,CCDC88C
0,0.48176418160566037,0.371,0.59,0,1,IL17RA
0,-0.15000015664667732,0.318,0.536,0,1,DYDC2
0,-0.25059846701941324,0.446,0.664,0,1,C11ORF87
0,-0.9027525154746808,0.302,0.52,0,1,TAGLN
0,0.2679015150592257,0.379,0.597,0,1,TRAC
0,-0.5847156197729775,0.314,0.531,0,1,CCDC146
0,-0.4853229475129083,0.428,0.645,0,1,DIRAS2
0,-0.3688961710295733,0.334,0.55,0,1,C9ORF116
0,-0.20312477395733164,0.444,0.659,0,1,SUSD4
0,0.134157822193681,0.41,0.625,0,1,ACVR1C
0,-0.5761573630719766,0.46,0.675,0,1,FGF12
0,-0.19600971364509462,0.43,0.645,0,1,SPTB
0,-0.43049869063904633,0.454,0.669,0,1,TIAM1
0,-1.2166922795238853,0.746,0.531,0,1,NTNG2
0,0.15676705167984104,0.398,0.612,0,1,LDB2
0,0.23715196348885362,0.386,0.6,0,1,GPR12
0,-0.11404667015996939,0.442,0.655,0,1,CAMK1G
0,-0.38356407350987176,0.314,0.527,0,1,CFAP46
0,-0.22056844554913796,0.409,0.622,0,1,NRIP3
0,-0.3752110410784213,0.471,0.683,0,1,B3GALNT1
0,-0.40401496647882595,0.463,0.675,0,1,CHST2
0,-0.25673238315470515,0.459,0.671,0,1,SUN1
0,0.18022071303399648,0.397,0.609,0,1,OTOF
0,-0.203894665738165,0.367,0.579,0,1,CLEC2L
0,0.21785326710986502,0.403,0.615,0,1,DLC1
0,0.4078356795952985,0.396,0.608,0,1,LRRC10B
0,0.184829435701906,0.396,0.607,0,1,LINC01551
0,-0.148314198284479,0.43,0.64,0,1,PGBD5
0,-0.43846030307435147,0.314,0.524,0,1,CFAP100
0,-0.16083549035752098,0.434,0.643,0,1,GALNT17
0,-0.21123172871387658,0.447,0.656,0,1,LRRN3
0,-0.43953073529413494,0.366,0.575,0,1,COL6A1
0,0.2681428946562695,0.408,0.616,0,1,DGAT2
0,-0.1308586872421365,0.372,0.58,0,1,GNG4
0,-0.45908621057157295,0.491,0.699,0,1,PGAP1
0,-0.6225881034063614,0.348,0.555,0,1,ZMYND10
0,-0.7126450263943018,0.353,0.56,0,1,NPNT
0,0.8179891949046738,0.37,0.577,0,1,SYT2
0,0.19108478505320492,0.406,0.613,0,1,EML1
0,-0.27261094789229373,0.455,0.661,0,1,SLC6A17
0,-0.45382289724063307,0.341,0.547,0,1,ABI3BP
0,-0.4901104659019945,0.445,0.65,0,1,SLC35F1
0,-1.110268632742483,0.435,0.639,0,1,CAMK2D
0,-0.7119409242728358,0.384,0.588,0,1,CBLN4
0,-0.4999659877621503,0.416,0.619,0,1,SNX10
0,-0.10188154101943014,0.449,0.652,0,1,CACNA1A
0,-0.6118977116302708,0.394,0.597,0,1,UBE2QL1
0,-0.5953888769449405,0.475,0.677,0,1,PAK1
0,-0.7377412203004482,0.447,0.648,0,1,SLIT1
0,-0.7230085019150592,0.523,0.724,0,1,PGM2L1
