p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.1955491927171521,0.268,0.557,0,1,SCIN
0,0.465879805456617,0.243,0.525,0,1,KL
0,0.15556920682505138,0.287,0.554,0,1,TRMT9B
0,0.2629427858563339,0.299,0.563,0,1,EPHA7
0,0.5178471436688974,0.283,0.537,0,1,EGR2
0,0.3743833692039684,0.294,0.547,0,1,SMOC2
0,0.16880886073670243,0.305,0.557,0,1,EPHB1
0,1.0369339323937878,0.309,0.559,0,1,MME
0,0.3848741092527395,0.299,0.548,0,1,SLC35D3
0,0.17125023355252036,0.34,0.584,0,1,S100PBP
0,0.31924727509566875,0.296,0.539,0,1,HS6ST3
0,0.12647371419137532,0.341,0.581,0,1,TDRP
0,0.35202290347931203,0.324,0.564,0,1,NQO1
0,0.6082908120612954,0.33,0.569,0,1,KCNT1
0,0.10687209030288303,0.303,0.541,0,1,DNAH2
0,0.4488841768293626,0.335,0.572,0,1,EPB41
0,0.26629531994715355,0.341,0.577,0,1,DACH1
0,0.17424786608584297,0.301,0.535,0,1,NOS1
0,0.7229820003134251,0.311,0.543,0,1,COL25A1
0,0.6825685201518981,0.346,0.575,0,1,EYA1
0,0.1299217814955629,0.395,0.616,0,1,LINC00599
0,0.22371360961425396,0.365,0.582,0,1,EGR4
0,0.48904019991818476,0.338,0.554,0,1,DUSP6
0,0.23347910402106195,0.406,0.611,0,1,CORO6
0,0.4436552990014748,0.395,0.598,0,1,LRRC10B
0,0.343949379923023,0.385,0.583,0,1,TRAC
0,0.6579162266359694,0.384,0.582,0,1,TUNAR
0,0.2232005500755486,0.417,0.612,0,1,CCDC88C
0,0.31304303647255854,0.388,0.582,0,1,KCNH3
0,0.20545367042932522,0.416,0.607,0,1,OTOF
0,0.8399127746254227,0.375,0.56,0,1,SYT2
0,0.11069771404967377,0.357,0.54,0,1,CHRDL1
0,0.4579696554724886,0.834,0.775,0,1,RASD2
0,0.2271100163555353,0.878,0.826,0,1,LPL
0,0.10054545167867923,0.867,0.818,0,1,PPP1R1A
0,0.13522626269075744,0.94,0.893,0,1,ANO3
0,0.772960405181196,0.759,0.719,0,1,SCN4B
