Cell type,Gene,Log2FC,pvalue,padj
Astrocyte,Slc6a11,-0.857629179,3.41E-06,0.038869695
Drd1.MSN.1,ENSRNOG00000067802,5.980156997,7.28E-08,0.000958322
Drd1.MSN.1,Tac1,0.619365684,4.28E-07,0.002818648
Drd1.MSN.1,Scg2,0.7219393,1.02E-06,0.00449527
Drd1.MSN.1,Nr4a3,2.245740248,2.17E-06,0.006823934
Drd1.MSN.1,Pcsk1,1.260135528,2.59E-06,0.006823934
Drd1.MSN.1,Elmo1,0.537396339,1.66E-05,0.024597909
Drd1.MSN.1,Ptpro,0.75002012,1.38E-05,0.024597909
Drd1.MSN.1,Ubash3b,0.831443527,1.68E-05,0.024597909
Drd1.MSN.1,Znrf3,-0.535720801,1.59E-05,0.024597909
Drd1.MSN.1,ENSRNOG00000067693,0.660847348,2.77E-05,0.036528396
Drd1.MSN.1,Homer1,0.529965669,4.43E-05,0.053001971
Drd1.MSN.1,Plagl1,4.392224222,6.40E-05,0.070240358
Drd1.MSN.2,AABR07006724.1,0.854802947,1.77E-06,0.021576162
Drd2.MSN.1,ENSRNOG00000067802,4.266625807,6.14E-06,0.0810217
Drd2.MSN.2,Nr4a3,2.251518388,2.93E-07,0.002611029
GABAergic,ENSRNOG00000067802,5.074211222,5.16E-08,0.000698472
GABAergic,AABR07054341.1,3.494526262,3.10E-07,0.002094519
Glutamatergic,Nxph1,-4.355149057,6.26E-07,0.006588301
Glutamatergic,AABR07007068.1,5.295109675,7.87E-06,0.041386123
Glutamatergic,ENSRNOG00000067530,-3.138673918,2.60E-05,0.052788919
Glutamatergic,Prox1,-6.989682653,2.32E-05,0.052788919
Glutamatergic,Rbms3,-2.887238534,3.01E-05,0.052788919
Glutamatergic,Trabd2b,4.014576786,1.58E-05,0.052788919
Glutamatergic,Col23a1,4.791708513,4.37E-05,0.065611623
Grm8 MSN,ENSRNOG00000067802,5.484731134,6.56E-06,0.08047303
Olig.1,Kcnip4,8.144434442,7.48E-12,8.09E-08
Olig.1,Nrg1,6.757044078,1.44E-11,8.09E-08
Olig.1,ENSRNOG00000067802,7.750414632,8.42E-10,3.15E-06
Olig.1,Cacnb2,7.212053497,1.93E-07,0.000540984
Olig.1,Dcc,7.369051132,2.83E-07,0.000635959
Olig.1,Sv2c,-1.908633411,5.68E-07,0.001061372
Pvalb.Interneuron,Zfp804b,2.110389549,3.28E-07,0.003260234
Pvalb.Interneuron,Npy,3.612522701,1.78E-05,0.088236514
Sst.Interneuron,Adarb2,-1.410189799,9.61E-07,0.007478057
Sst.Interneuron,Schip1,-1.431853414,1.07E-05,0.041536273
Sst.Interneuron,Scg2,1.818414472,2.04E-05,0.052952578
Sst.Interneuron,Dcc,-1.289181397,3.80E-05,0.073952171
