symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CHRNA4	0.7229071802295628	0.6117418370446779	No data	0.3240411347031696	No data	No data	No data	No data	No data	No data	No data	No data	0	No data	0.9952552528977979	No data	No data	No data	No data	No data	No data	0.3945708969288947	No data	No data	1	1	0	1	1	0	0.2025500000000001	0	-0.11168993540320904	-0.7268094584579393	0	-1	No data	0	0.5	0.5
SLC6A3	0.7146785299306724	No data	No data	0.2947483462436747	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.985717590343584	No data	No data	No data	No data	No data	No data	0.41134463861059506	No data	No data	1	0	0	1	1	0	0.6532249999999997	0	-0.8223588247551573	-0.8776254505243005	0	-1	No data	-0.16129	1	1
DRD2	0.6912946803330704	0.609656834325224	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9750146298340027	No data	No data	No data	No data	No data	No data	0.43642883624787426	No data	No data	1	1	0	1	1	0	0.7855550000000001	1	-0.5752240050010419	-0.9552199751574719	0	-1	No data	0	0.75	0
GABRA2	0.6895846744337574	No data	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9875878897582194	No data	No data	No data	No data	No data	No data	0.3106104269122927	No data	No data	1	1	0	1	1	0	0.8891350000000002	No data	-0.8510106272140029	-0.8873353578227341	0	-1	No data	-0.4068725000000001	1	0.5
ALDH2	0.6494945415495965	0.19099670504391458	No data	0.547137717850459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.903846549960551	No data	No data	No data	No data	No data	No data	0.5213093739852376	No data	No data	1	0	0	1	1	1	0.75822	No data	0.22650552198374663	-0.9235787324090616	0	-1	No data	-0.3230174999999999	0.5	-1
OPRM1	0.6211835193163913	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9979748824651691	No data	No data	No data	No data	No data	No data	0.47649676837824406	No data	No data	1	1	0	1	1	0	0.5625	0	0.4585330277141071	-0.7312691704091201	0	-1	No data	0	0.5	0.5
GABBR2	0.6205565045680632	No data	No data	0.2647876362930616	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9526860976875634	No data	No data	No data	No data	No data	No data	0.08483951130423369	No data	No data	1	1	0	1	0	0	0.8990450000000003	No data	-0.9258178787247343	-0.720012644525361	0	No data	No data	0	1	0.5
OPRK1	0.6157156356915119	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9970925990905658	No data	No data	No data	No data	No data	No data	0.31425736847905267	No data	No data	1	1	0	1	1	0	0.6842100000000002	1	0.46197124400916856	-0.276899951827744	0	-1	No data	0	0.5	0.5
HTR2A	0.6136830411778441	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9681833968889649	No data	No data	No data	No data	No data	No data	0.11646910508005998	No data	0.773808093133272	1	1	0	1	1	0	0.5753700000000002	1	-0.4718691394040425	-0.17439265309339924	0	-1	No data	0	1	0.5
OPRD1	0.6113605594355961	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9957438376243618	No data	No data	No data	No data	No data	No data	0.19795720287246985	No data	No data	1	1	0	1	1	0	0.67742	1	0.3413211085642842	-0.17077894484562928	0	-1	No data	0	0.5	1
